elpac_2018_testPurpose,elpac_2018_testTakenText,elpac_2018_testPurpose_text,elpac_2018_birthdate,elpac_2018_grade,elpac_2018_gradeAssessed,elpac_2018_testGradeLevel,elpac_2018_testdate,elpac_2018_scoringDate,elpac_2018_testStatus,elpac_2018_ssOverall,elpac_2018_plOverall,elpac_2018_plOverall_text,elpac_2018_ssOral,elpac_2018_semOral,elpac_2018_plOral,elpac_2018_plOral_text,elpac_2018_ssLang,elpac_2018_semLang,elpac_2018_plLang,elpac_2018_plLang_text,elpac_2018_plListen,elpac_2018_plListen_text,elpac_2018_plSpeak,elpac_2018_plSpeak_text,elpac_2018_plRead,elpac_2018_plRead_text,elpac_2018_plWrite,elpac_2018_plWrite_text,elpac_2018_attempted,elpac_2018_attempted_text,elpac_2018_include,elpac_2018_include_text,elpac_2018_optionalLocalUse,elpac_2018_overall_MinScore,elpac_2018_overall_level2Cut,elpac_2018_overall_level3Cut,elpac_2018_overall_level4Cut,elpac_2018_overall_MaxScore,elpac_2018_oral_MinScore,elpac_2018_oral_level2Cut,elpac_2018_oral_level3Cut,elpac_2018_oral_level4Cut,elpac_2018_oral_MaxScore,elpac_2018_lang_MinScore,elpac_2018_lang_level2Cut,elpac_2018_lang_level3Cut,elpac_2018_lang_level4Cut,elpac_2018_lang_MaxScore,last_modified,last_modified_by,date_imported,elpac_2018_englishprof,elpac_2018_englishprofcorrection,elpac_2018_englishprofreason,elpac_2018_englishprofdate,Stu_deID
SA,Grade 01 Overall,Summative Assessment,2011-07-04,01,01,01,2018-05-02,2018-07-03,1,1503,4,Level 4,1505,19,4,Level 4,1500,22,4,Level 4,3,Well Developed,3,Well Developed,3,Well Developed,2,Somewhat/Moderately,Y,completion,Y,Student met completion/attemptedness,,1150,1415,1437,1467,1700,1150,1412,1433,1462,1700,1150,1417,1440,1472,1700,,,2020-02-03 15:00:31,,,,,0
SA,Grade 04 Overall,Summative Assessment,2008-07-28,04,04,04,2018-03-16,2018-05-02,1,1535,3,Level 3,1504,18,3,Level 3,1566,19,4,Level 4,3,Well Developed,2,Somewhat/Moderately,2,Somewhat/Moderately,3,Well Developed,Y,completion,Y,Student met completion/attemptedness,,1150,1459,1490,1539,1800,1150,1439,1466,1512,1800,1150,1478,1514,1566,1800,,,2020-02-03 15:00:31,,,,,1
SA,Grade 01 Overall,Summative Assessment,2011-08-13,01,01,01,2018-02-12,2018-05-02,1,1449,3,Level 3,1468,13,4,Level 4,1430,10,2,Level 2,3,Well Developed,3,Well Developed,1,Beginning,2,Somewhat/Moderately,Y,completion,Y,Student met completion/attemptedness,,1150,1415,1437,1467,1700,1150,1412,1433,1462,1700,1150,1417,1440,1472,1700,,,2020-02-03 15:00:31,,,,,2
SA,Grade 04 Overall,Summative Assessment,2008-05-06,04,04,04,2018-04-02,2018-05-02,1,1480,2,Level 2,1477,15,3,Level 3,1482,12,2,Level 2,2,Somewhat/Moderately,2,Somewhat/Moderately,2,Somewhat/Moderately,1,Beginning,Y,completion,Y,Student met completion/attemptedness,,1150,1459,1490,1539,1800,1150,1439,1466,1512,1800,1150,1478,1514,1566,1800,,,2020-02-03 15:00:31,,,,,3
SA,Grade KN Overall,Summative Assessment,2012-04-13,KN,KN,KN,2018-05-23,2018-07-03,1,1461,4,Level 4,1478,16,4,Level 4,1422,18,3,Level 3,3,Well Developed,3,Well Developed,3,Well Developed,2,Somewhat/Moderately,Y,completion,Y,Student met completion/attemptedness,,1150,1379,1414,1444,1700,1150,1390,1418,1451,1700,1150,1352,1403,1428,1700,,,2019-04-22 13:15:45,,,,,4
SA,Grade KN Overall,Summative Assessment,2011-09-25,KN,KN,KN,2018-05-25,2018-06-21,1,1357,1,Level 1,1352,12,1,Level 1,1368,8,2,Level 2,1,Beginning,1,Beginning,2,Somewhat/Moderately,2,Somewhat/Moderately,Y,completion,Y,Student met completion/attemptedness,,1150,1379,1414,1444,1700,1150,1390,1418,1451,1700,1150,1352,1403,1428,1700,,,2020-02-03 15:00:31,,,,,5
SA,Grade 04 Overall,Summative Assessment,2008-09-10,04,04,04,2018-03-08,2018-04-17,1,1516,3,Level 3,1512,19,4,Level 4,1519,14,3,Level 3,2,Somewhat/Moderately,3,Well Developed,2,Somewhat/Moderately,2,Somewhat/Moderately,Y,completion,Y,Student met completion/attemptedness,,1150,1459,1490,1539,1800,1150,1439,1466,1512,1800,1150,1478,1514,1566,1800,,,2020-02-03 15:00:31,,,,,6
SA,Grade 04 Overall,Summative Assessment,2008-07-03,04,04,04,2018-02-20,2018-04-17,1,1506,3,Level 3,1512,19,4,Level 4,1499,13,2,Level 2,3,Well Developed,3,Well Developed,2,Somewhat/Moderately,2,Somewhat/Moderately,Y,completion,Y,Student met completion/attemptedness,,1150,1459,1490,1539,1800,1150,1439,1466,1512,1800,1150,1478,1514,1566,1800,,,2020-02-03 15:00:31,,,,,7
SA,Grade 02 Overall,Summative Assessment,2010-05-19,02,02,02,2018-05-04,2018-07-03,1,1423,2,Level 2,1441,12,3,Level 3,1404,10,1,Level 1,3,Well Developed,2,Somewhat/Moderately,1,Beginning,1,Beginning,Y,completion,Y,Student met completion/attemptedness,,1150,1420,1447,1489,1700,1150,1410,1437,1477,1700,1150,1430,1456,1501,1700,,,2020-02-03 15:00:31,,,,,8
SA,Grade KN Overall,Summative Assessment,2012-11-16,KN,KN,KN,2018-05-21,2018-06-21,1,1408,2,Level 2,1418,11,3,Level 3,1384,9,2,Level 2,2,Somewhat/Moderately,2,Somewhat/Moderately,2,Somewhat/Moderately,2,Somewhat/Moderately,Y,completion,Y,Student met completion/attemptedness,,1150,1379,1414,1444,1700,1150,1390,1418,1451,1700,1150,1352,1403,1428,1700,,,2020-02-03 15:00:31,,,,,9
